GB,MB/s
1, 2960
2, 3151
3, 3141
4, 3210
5, 3230
6, 3220
7, 3241
8, 3230
9, 3282
10, 3112
11, 3303
12, 3303
13, 3272
14, 3282
15, 3293
16, 3261
17, 3303
18, 3303
19, 3151
20, 3303
21, 3314
22, 3293
23, 3251
24, 3303
25, 3314
26, 3293
27, 2798
28, 3303
29, 3314
30, 3303
31, 3251
32, 3293
33, 3293
34, 3293
35, 3303
36, 3251
37, 3272
38, 3282
39, 3272
40, 3190
41, 3303
42, 3220
43, 3272
44, 3210
45, 3230
46, 3282
47, 3272
48, 3131
49, 3251
50, 3282
51, 3190
52, 3200
53, 3293
54, 3314
55, 3368
56, 3402
57, 3251
58, 3380
59, 3357
60, 3391
61, 3368
62, 3391
63, 3402
64, 3380
65, 3282
66, 3413
67, 3391
68, 3357
69, 3282
70, 3368
71, 3336
72, 3346
73, 3210
74, 3357
75, 3357
76, 3368
77, 3357
78, 3293
79, 3325
80, 3293
